Pond_Label,Temp,TDS,pH,images
pond_01,29.3,145,9.6,pond_001
pond_01,29.3,145,9.6,pond_002
pond_01,29.3,145,9.6,pond_003
pond_01,29.3,145,9.6,pond_004
pond_01,29.3,145,9.6,pond_005
pond_01,29.3,145,9.6,pond_006
pond_01,29.3,145,9.6,pond_007
pond_01,29.3,145,9.6,pond_008
pond_01,29.3,145,9.6,pond_009
pond_01,29.3,145,9.6,pond_010
pond_01,29.3,145,9.6,pond_011
pond_01,29.3,145,9.6,pond_012
pond_01,29.3,145,9.6,pond_013
pond_01,29.3,145,9.6,pond_014
pond_01,29.3,145,9.6,pond_015
pond_01,29.3,145,9.6,pond_016
pond_01,29.3,145,9.6,pond_017
pond_01,29.3,145,9.6,pond_018
pond_01,29.3,145,9.6,pond_019
pond_01,29.3,145,9.6,pond_020
pond_01,29.3,146,9.39,pond_021
pond_01,29.3,146,9.39,pond_022
pond_01,29.3,146,9.39,pond_023
pond_01,29.3,146,9.39,pond_024
pond_01,29.3,146,9.39,pond_025
pond_01,29.3,146,9.39,pond_026
pond_01,29.3,146,9.39,pond_027
pond_01,29.3,146,9.39,pond_028
pond_01,29.3,146,9.39,pond_029
pond_01,29.3,146,9.39,pond_030
pond_01,29.3,146,9.39,pond_031
pond_01,29.3,146,9.39,pond_032
pond_01,29.3,146,9.39,pond_033
pond_01,29.3,146,9.39,pond_034
pond_01,29.3,146,9.39,pond_035
pond_01,29.3,146,9.39,pond_036
pond_01,29.3,146,9.39,pond_037
pond_01,29.3,146,9.39,pond_038
pond_01,29.3,146,9.39,pond_039
pond_01,29.3,146,9.39,pond_040
pond_01,29.3,146,9.39,pond_041
pond_01,29.3,146,9.39,pond_042
pond_01,29.3,146,9.39,pond_043
pond_01,29.3,146,9.39,pond_044
pond_01,29.3,146,9.39,pond_045
pond_01,29.3,146,9.39,pond_046
pond_01,29.3,146,9.39,pond_047
pond_01,29.3,146,9.39,pond_048
pond_01,29.3,146,9.39,pond_049
pond_01,29.3,146,9.39,pond_050
pond_01,29,148,9.18,pond_051
pond_01,29,148,9.18,pond_052
pond_01,29,148,9.18,pond_053
pond_01,29,148,9.18,pond_054
pond_01,29,148,9.18,pond_055
pond_01,29,148,9.18,pond_056
pond_01,29,148,9.18,pond_057
pond_01,29,148,9.18,pond_058
pond_01,29,148,9.18,pond_059
pond_01,29,148,9.18,pond_060
pond_01,33,148,9.18,pond_061
pond_01,33,148,9.18,pond_062
pond_01,33,148,9.18,pond_063
pond_01,33,148,9.18,pond_064
pond_01,33,148,9.18,pond_065
pond_01,29.3,146,9.39,pond_066
pond_01,29,148,9.18,pond_067
pond_01,29,148,9.18,pond_068
pond_01,29,148,9.18,pond_069
pond_01,29,148,9.18,pond_070
pond_01,33,148,9.18,pond_071
pond_01,29.3,146,9.39,pond_072
pond_01,29,148,9.18,pond_073
pond_01,29,148,9.18,pond_074
pond_01,29,148,9.18,pond_075
pond_01,33,148,9.18,pond_076
pond_01,33,148,9.18,pond_077
pond_01,29,148,9.18,pond_078
pond_01,29,148,9.18,pond_079
pond_01,33,148,9.18,pond_080
pond_01,29.3,146,9.39,pond_081
pond_01,29.3,146,9.39,pond_082
pond_01,29,148,9.18,pond_083
pond_01,29,148,9.18,pond_084
pond_01,29,148,9.18,pond_085
pond_01,33,148,9.18,pond_086
pond_01,33,148,9.18,pond_087
pond_01,33,148,9.18,pond_088
pond_01,33,148,9.18,pond_089
pond_01,33,148,9.18,pond_090
pond_01,29.3,146,9.39,pond_091
pond_01,29.3,146,9.39,pond_092
pond_01,29,148,9.18,pond_093
pond_01,29,148,9.18,pond_094
pond_01,33,148,9.18,pond_095
pond_01,33,148,9.18,pond_096
pond_01,33,148,9.18,pond_097
pond_01,33,148,9.18,pond_098
pond_01,33,148,9.18,pond_099
pond_01,33,148,9.18,pond_100
pond_01,29.3,145,9.6,pond_101
pond_01,29.3,145,9.6,pond_102
pond_01,29.3,145,9.6,pond_103
pond_01,29.3,145,9.6,pond_104
pond_01,28.7,146,8.96,pond_105
pond_01,28.7,146,8.96,pond_106
pond_01,29.3,146,9.39,pond_107
pond_01,29.3,146,9.39,pond_108
pond_01,28.7,146,8.96,pond_109
pond_01,28.7,146,8.96,pond_110
pond_01,28.7,146,8.96,pond_111
pond_01,28.7,146,8.96,pond_112
pond_01,28.7,146,8.96,pond_113
pond_01,28.7,146,8.96,pond_114
pond_01,28.7,146,8.96,pond_115
pond_01,28.7,146,8.96,pond_116
pond_01,28.7,146,8.96,pond_117
pond_01,28.7,146,8.96,pond_118
pond_01,28.7,146,8.96,pond_119
pond_01,28.7,146,8.96,pond_120
pond_01,28.7,146,8.96,pond_121
pond_01,28.7,146,8.96,pond_122
